Ano,Mês,SG_UF_NOT,Quantidade de Casos
2018,2,15,1260
2018,2,16,143
2018,2,17,567
2018,2,21,253
2018,2,22,242
2018,2,23,1506
2018,2,24,985
2018,2,25,440
2018,2,26,1264
2018,2,27,176
2018,2,28,29
2018,2,29,964
2018,2,31,5426
2018,2,32,801
2018,2,33,2412
2018,2,35,8779
2018,2,41,2162
2018,2,42,227
2018,2,43,117
2018,2,50,626
2018,2,51,1631
2018,2,52,12784
2018,2,53,300
2018,3,11,205
2018,3,12,967
2018,3,13,579
2018,3,14,114
2018,3,15,1977
2018,3,16,222
2018,3,17,708
2018,3,21,300
2018,3,22,367
2018,3,23,2292
2018,3,24,2389
2018,3,25,684
2018,3,26,2058
2018,3,27,203
2018,3,28,30
2018,3,29,1580
2018,3,31,7890
2018,3,32,1461
2018,3,33,4437
2018,3,35,9206
2018,3,41,1984
2018,3,42,173
2018,3,43,98
2018,3,50,741
2018,3,51,1612
2018,3,52,17787
2018,3,53,458
2018,4,11,274
2018,4,12,1022
2018,4,13,586
2018,4,14,108
2018,4,15,1606
2018,4,16,253
2018,4,17,1208
2018,4,21,473
2018,4,22,274
2018,4,23,3448
2018,4,24,4826
2018,4,25,2164
2018,4,26,4036
2018,4,27,259
2018,4,28,40
2018,4,29,2257
2018,4,31,11661
2018,4,32,2118
2018,4,33,4718
2018,4,35,8239
2018,4,41,2097
2018,4,42,253
2018,4,43,86
2018,4,50,612
2018,4,51,1376
2018,4,52,19817
2018,4,53,608
2018,5,11,239
2018,5,12,904
2018,5,13,442
2018,5,14,166
2018,5,15,1231
2018,5,16,143
2018,5,17,1037
2018,5,21,761
2018,5,22,453
2018,5,23,1781
2018,5,24,5438
2018,5,25,3043
2018,5,26,3697
2018,5,27,372
2018,5,28,94
2018,5,29,2292
2018,5,31,7876
2018,5,32,2330
2018,5,33,3641
2018,5,35,7250
2018,5,41,1348
2018,5,42,211
2018,5,43,76
2018,5,50,632
2018,5,51,1087
2018,5,52,18490
2018,5,53,445
2018,6,11,95
